mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2015-08-28 13:52:00,2015-08-28 14:02:00,2.47,9.7,-5.2,nan,nan,nan,0.187,shear,5.679999828338623,-4.739999771118164,-7.320000171661377,16.587,212.961,6.71,
3,2015-08-28 13:52:00,2015-08-28 14:02:00,2.47,9.7,-5.2,nan,nan,nan,1.744,rx_en,5.679999828338623,-4.739999771118164,-7.320000171661377,16.587,212.961,6.71,
3,2015-08-28 13:52:00,2015-08-28 14:02:00,2.47,9.7,-5.2,nan,nan,nan,5.135,va_cs,5.679999828338623,-4.739999771118164,-7.320000171661377,16.587,212.961,6.71,
3,2015-08-28 13:52:00,2015-08-28 14:02:00,2.47,9.7,-5.2,nan,nan,nan,5.014,bisection,5.679999828338623,-4.739999771118164,-7.320000171661377,16.587,212.961,6.71,
3,2015-08-28 13:54:00,2015-08-28 14:04:00,2.45,9.72,-5.2,nan,nan,nan,1.2,shear,4.53000020980835,-3.8499999046325684,-7.949999809265137,16.646,205.866,7.22,
3,2015-08-28 13:54:00,2015-08-28 14:04:00,2.45,9.72,-5.2,nan,nan,nan,2.887,rx_en,4.53000020980835,-3.8499999046325684,-7.949999809265137,16.646,205.866,7.22,
3,2015-08-28 13:54:00,2015-08-28 14:04:00,2.45,9.72,-5.2,nan,nan,nan,4.119,va_cs,4.53000020980835,-3.8499999046325684,-7.949999809265137,16.646,205.866,7.22,
3,2015-08-28 13:54:00,2015-08-28 14:04:00,2.45,9.72,-5.2,nan,nan,nan,5.4,bisection,4.53000020980835,-3.8499999046325684,-7.949999809265137,16.646,205.866,7.22,
3,2015-08-28 14:03:00,2015-08-28 14:13:00,2.38,9.81,-5.2,nan,nan,nan,1.649,shear,4.170000076293945,-3.0,-8.65999984741211,16.904,199.114,7.81,
3,2015-08-28 14:03:00,2015-08-28 14:13:00,2.38,9.81,-5.2,nan,nan,nan,4.665,rx_en,4.170000076293945,-3.0,-8.65999984741211,16.904,199.114,7.81,
3,2015-08-28 14:03:00,2015-08-28 14:13:00,2.38,9.81,-5.2,nan,nan,nan,2.178,va_cs,4.170000076293945,-3.0,-8.65999984741211,16.904,199.114,7.81,
3,2015-08-28 14:03:00,2015-08-28 14:13:00,2.38,9.81,-5.2,nan,nan,nan,5.738,bisection,4.170000076293945,-3.0,-8.65999984741211,16.904,199.114,7.81,
3,2015-09-07 13:52:26,2015-09-07 14:02:26,3.66,9.57,-5.58,2.990000009536743,0.7200000286102295,7.039999961853027,0.597,shear,-2.4200000762939453,-5.659999847412109,-3.0899999141693115,13.077,241.387,2.89,
3,2015-09-07 13:52:26,2015-09-07 14:02:26,3.66,9.57,-5.58,2.990000009536743,0.7200000286102295,7.039999961853027,2.209,rx_en,-2.4200000762939453,-5.659999847412109,-3.0899999141693115,13.077,241.387,2.89,
3,2015-09-07 13:52:26,2015-09-07 14:02:26,3.66,9.57,-5.58,2.990000009536743,0.7200000286102295,7.039999961853027,2.237,va_cs,-2.4200000762939453,-5.659999847412109,-3.0899999141693115,13.077,241.387,2.89,
3,2015-09-07 13:52:26,2015-09-07 14:02:26,3.66,9.57,-5.58,2.990000009536743,0.7200000286102295,7.039999961853027,4.653,bisection,-2.4200000762939453,-5.659999847412109,-3.0899999141693115,13.077,241.387,2.89,
3,2015-09-07 13:53:29,2015-09-07 14:03:29,3.66,9.58,-5.58,11.359999656677246,11.600000381469727,32.11000061035156,0.082,shear,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.084,2.84,
3,2015-09-07 13:53:29,2015-09-07 14:03:29,3.66,9.58,-5.58,11.359999656677246,11.600000381469727,32.11000061035156,3.388,rx_en,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.084,2.84,
3,2015-09-07 13:53:29,2015-09-07 14:03:29,3.66,9.58,-5.58,11.359999656677246,11.600000381469727,32.11000061035156,4.58,va_cs,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.084,2.84,
3,2015-09-07 13:53:29,2015-09-07 14:03:29,3.66,9.58,-5.58,11.359999656677246,11.600000381469727,32.11000061035156,4.655,bisection,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.084,2.84,
3,2015-09-07 19:36:14,2015-09-07 19:46:14,0.57,10.68,-3.64,-32.560001373291016,31.959999084472656,5.980000019073486,1.64,shear,2.4100000858306885,2.819999933242798,-5.739999771118164,12.931,153.839,5.97,
3,2015-09-07 19:36:14,2015-09-07 19:46:14,0.57,10.68,-3.64,-32.560001373291016,31.959999084472656,5.980000019073486,4.64,rx_en,2.4100000858306885,2.819999933242798,-5.739999771118164,12.931,153.839,5.97,
3,2015-09-07 19:36:14,2015-09-07 19:46:14,0.57,10.68,-3.64,-32.560001373291016,31.959999084472656,5.980000019073486,4.468,va_cs,2.4100000858306885,2.819999933242798,-5.739999771118164,12.931,153.839,5.97,
3,2015-09-07 19:36:14,2015-09-07 19:46:14,0.57,10.68,-3.64,-32.560001373291016,31.959999084472656,5.980000019073486,3.64,bisection,2.4100000858306885,2.819999933242798,-5.739999771118164,12.931,153.839,5.97,
3,2015-09-09 12:34:08,2015-09-09 12:44:08,4.45,8.82,-5.51,12.3100004196167,12.34000015258789,15.279999732971191,3.233,shear,-0.8100000023841858,-4.159999847412109,-7.460000038146973,9.757,209.123,2.34,
3,2015-09-09 12:34:08,2015-09-09 12:44:08,4.45,8.82,-5.51,12.3100004196167,12.34000015258789,15.279999732971191,3.099,rx_en,-0.8100000023841858,-4.159999847412109,-7.460000038146973,9.757,209.123,2.34,
3,2015-09-09 12:34:08,2015-09-09 12:44:08,4.45,8.82,-5.51,12.3100004196167,12.34000015258789,15.279999732971191,5.51,va_cs,-0.8100000023841858,-4.159999847412109,-7.460000038146973,9.757,209.123,2.34,
3,2015-09-09 12:34:08,2015-09-09 12:44:08,4.45,8.82,-5.51,12.3100004196167,12.34000015258789,15.279999732971191,5.527,bisection,-0.8100000023841858,-4.159999847412109,-7.460000038146973,9.757,209.123,2.34,
3,2015-09-09 12:42:14,2015-09-09 12:52:14,4.4,8.89,-5.54,7.78000020980835,18.899999618530273,23.639999389648438,3.54,shear,-1.0399999618530273,-4.0,-7.619999885559082,10.051,207.679,2.22,
3,2015-09-09 12:42:14,2015-09-09 12:52:14,4.4,8.89,-5.54,7.78000020980835,18.899999618530273,23.639999389648438,3.321,rx_en,-1.0399999618530273,-4.0,-7.619999885559082,10.051,207.679,2.22,
3,2015-09-09 12:42:14,2015-09-09 12:52:14,4.4,8.89,-5.54,7.78000020980835,18.899999618530273,23.639999389648438,5.54,va_cs,-1.0399999618530273,-4.0,-7.619999885559082,10.051,207.679,2.22,
3,2015-09-09 12:42:14,2015-09-09 12:52:14,4.4,8.89,-5.54,7.78000020980835,18.899999618530273,23.639999389648438,5.552,bisection,-1.0399999618530273,-4.0,-7.619999885559082,10.051,207.679,2.22,
3,2015-09-09 14:17:22,2015-09-09 14:27:22,3.72,9.72,-5.59,5.679999828338623,23.030000686645508,18.690000534057617,2.644,shear,-1.2899999618530273,-2.3399999141693115,-7.210000038146973,13.023,197.969,3.25,
3,2015-09-09 14:17:22,2015-09-09 14:27:22,3.72,9.72,-5.59,5.679999828338623,23.030000686645508,18.690000534057617,4.99,rx_en,-1.2899999618530273,-2.3399999141693115,-7.210000038146973,13.023,197.969,3.25,
3,2015-09-09 14:17:22,2015-09-09 14:27:22,3.72,9.72,-5.59,5.679999828338623,23.030000686645508,18.690000534057617,5.59,va_cs,-1.2899999618530273,-2.3399999141693115,-7.210000038146973,13.023,197.969,3.25,
3,2015-09-09 14:17:22,2015-09-09 14:27:22,3.72,9.72,-5.59,5.679999828338623,23.030000686645508,18.690000534057617,5.59,bisection,-1.2899999618530273,-2.3399999141693115,-7.210000038146973,13.023,197.969,3.25,
3,2015-09-09 14:25:40,2015-09-09 14:35:40,3.65,9.78,-5.57,11.479999542236328,26.520000457763672,23.059999465942383,2.932,shear,-1.3200000524520874,-1.940000057220459,-7.230000019073486,13.219,195.033,3.45,
3,2015-09-09 14:25:40,2015-09-09 14:35:40,3.65,9.78,-5.57,11.479999542236328,26.520000457763672,23.059999465942383,5.197,rx_en,-1.3200000524520874,-1.940000057220459,-7.230000019073486,13.219,195.033,3.45,
3,2015-09-09 14:25:40,2015-09-09 14:35:40,3.65,9.78,-5.57,11.479999542236328,26.520000457763672,23.059999465942383,5.57,va_cs,-1.3200000524520874,-1.940000057220459,-7.230000019073486,13.219,195.033,3.45,
3,2015-09-09 14:25:40,2015-09-09 14:35:40,3.65,9.78,-5.57,11.479999542236328,26.520000457763672,23.059999465942383,5.57,bisection,-1.3200000524520874,-1.940000057220459,-7.230000019073486,13.219,195.033,3.45,
3,2015-09-09 14:27:05,2015-09-09 14:37:05,3.64,9.79,-5.57,10.09000015258789,-14.460000038146973,-3.9800000190734863,2.928,shear,-1.3600000143051147,-1.9199999570846558,-7.260000228881836,13.267,194.844,3.45,
3,2015-09-09 14:27:05,2015-09-09 14:37:05,3.64,9.79,-5.57,10.09000015258789,-14.460000038146973,-3.9800000190734863,5.198,rx_en,-1.3600000143051147,-1.9199999570846558,-7.260000228881836,13.267,194.844,3.45,
3,2015-09-09 14:27:05,2015-09-09 14:37:05,3.64,9.79,-5.57,10.09000015258789,-14.460000038146973,-3.9800000190734863,5.57,va_cs,-1.3600000143051147,-1.9199999570846558,-7.260000228881836,13.267,194.844,3.45,
3,2015-09-09 14:27:05,2015-09-09 14:37:05,3.64,9.79,-5.57,10.09000015258789,-14.460000038146973,-3.9800000190734863,5.57,bisection,-1.3600000143051147,-1.9199999570846558,-7.260000228881836,13.267,194.844,3.45,
3,2015-09-09 14:47:07,2015-09-09 14:57:07,3.48,9.94,-5.51,6.5,15.779999732971191,12.09000015258789,3.214,shear,-1.440000057220459,-1.1200000047683716,-7.800000190734863,13.708,188.146,3.59,
3,2015-09-09 14:47:07,2015-09-09 14:57:07,3.48,9.94,-5.51,6.5,15.779999732971191,12.09000015258789,5.51,rx_en,-1.440000057220459,-1.1200000047683716,-7.800000190734863,13.708,188.146,3.59,
3,2015-09-09 14:47:07,2015-09-09 14:57:07,3.48,9.94,-5.51,6.5,15.779999732971191,12.09000015258789,5.51,va_cs,-1.440000057220459,-1.1200000047683716,-7.800000190734863,13.708,188.146,3.59,
3,2015-09-09 14:47:07,2015-09-09 14:57:07,3.48,9.94,-5.51,6.5,15.779999732971191,12.09000015258789,5.71,bisection,-1.440000057220459,-1.1200000047683716,-7.800000190734863,13.708,188.146,3.59,
