mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen1,walen2,jet_detection,r_W,theta_W,np_median_msp,np_median_msh,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,x_gsm,y_gsm,z_gsm,r_spc,theta_w,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean
3,2015-09-04 11:37:06,2015-09-04 11:47:06,4.19,8.28,-5.05,7.760000228881836,18.479999542236328,17.530000686645508,10.066,shear,False,False,True,2.228,95.219,1.226,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,9.298,82.089,4.76,2015-09-04 11:42:54.163000+00:00,3,4.187,8.289,-5.061,9.712,95.219,361,421,441,501,12.203,0.718,-6.098,23.981,0.242,-6.55,23.697,4.314,-12.168,26.341,4.314,-12.168,26.341,1.226,1.469,3.813,3.756,-177.936,98.475,-29.215,-185.055,100.436,-27.341,-109.934,72.09,0.481,-104.216,69.995,-2.241,8940752.0,2723878.25,8080510.5,2984741.5,9866824.0,2815842.25,8780133.0,3104036.5,0.487,
3,2015-09-04 11:37:06,2015-09-04 11:47:06,4.19,8.28,-5.05,7.760000228881836,18.479999542236328,17.530000686645508,12.03,rx_en,False,False,True,2.228,95.219,1.226,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,9.298,82.089,4.76,2015-09-04 11:42:54.163000+00:00,3,4.187,8.289,-5.061,9.712,95.219,361,421,441,501,12.203,0.718,-6.098,23.981,0.242,-6.55,23.697,4.314,-12.168,26.341,4.314,-12.168,26.341,1.226,1.469,3.813,3.756,-177.936,98.475,-29.215,-185.055,100.436,-27.341,-109.934,72.09,0.481,-104.216,69.995,-2.241,8940752.0,2723878.25,8080510.5,2984741.5,9866824.0,2815842.25,8780133.0,3104036.5,0.487,
3,2015-09-04 11:37:06,2015-09-04 11:47:06,4.19,8.28,-5.05,7.760000228881836,18.479999542236328,17.530000686645508,14.603,va_cs,False,False,True,2.228,95.219,1.226,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,9.298,82.089,4.76,2015-09-04 11:42:54.163000+00:00,3,4.187,8.289,-5.061,9.712,95.219,361,421,441,501,12.203,0.718,-6.098,23.981,0.242,-6.55,23.697,4.314,-12.168,26.341,4.314,-12.168,26.341,1.226,1.469,3.813,3.756,-177.936,98.475,-29.215,-185.055,100.436,-27.341,-109.934,72.09,0.481,-104.216,69.995,-2.241,8940752.0,2723878.25,8080510.5,2984741.5,9866824.0,2815842.25,8780133.0,3104036.5,0.487,
3,2015-09-04 11:37:06,2015-09-04 11:47:06,4.19,8.28,-5.05,7.760000228881836,18.479999542236328,17.530000686645508,8.875,bisection,False,False,True,2.228,95.219,1.226,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,9.298,82.089,4.76,2015-09-04 11:42:54.163000+00:00,3,4.187,8.289,-5.061,9.712,95.219,361,421,441,501,12.203,0.718,-6.098,23.981,0.242,-6.55,23.697,4.314,-12.168,26.341,4.314,-12.168,26.341,1.226,1.469,3.813,3.756,-177.936,98.475,-29.215,-185.055,100.436,-27.341,-109.934,72.09,0.481,-104.216,69.995,-2.241,8940752.0,2723878.25,8080510.5,2984741.5,9866824.0,2815842.25,8780133.0,3104036.5,0.487,
3,2015-09-04 12:05:56,2015-09-04 12:15:56,4.03,8.59,-5.23,5.809999942779541,16.149999618530273,13.630000114440918,9.03,shear,False,False,True,4.261,82.806,0.921,13.986,-1.7999999523162842,11.539999961853027,2.75,10.423,76.602,3.59,2015-09-04 12:09:34.083000+00:00,3,4.034,8.579,-5.224,10.045,82.806,462,491,511,571,32.954,12.783,-16.962,50.775,14.35,-17.306,51.169,5.522,7.87,29.89,5.522,7.87,29.89,0.921,1.028,13.986,13.969,-0.208,-68.553,-107.286,-5.955,-63.351,-84.177,-21.369,-292.005,-230.938,-24.258,-302.832,-232.375,5164746.0,918927.5,5110705.5,920716.062,6133372.5,699492.562,5806047.0,718344.375,0.403,
3,2015-09-04 12:05:56,2015-09-04 12:15:56,4.03,8.59,-5.23,5.809999942779541,16.149999618530273,13.630000114440918,12.185,rx_en,False,False,True,4.261,82.806,0.921,13.986,-1.7999999523162842,11.539999961853027,2.75,10.423,76.602,3.59,2015-09-04 12:09:34.083000+00:00,3,4.034,8.579,-5.224,10.045,82.806,462,491,511,571,32.954,12.783,-16.962,50.775,14.35,-17.306,51.169,5.522,7.87,29.89,5.522,7.87,29.89,0.921,1.028,13.986,13.969,-0.208,-68.553,-107.286,-5.955,-63.351,-84.177,-21.369,-292.005,-230.938,-24.258,-302.832,-232.375,5164746.0,918927.5,5110705.5,920716.062,6133372.5,699492.562,5806047.0,718344.375,0.403,
3,2015-09-04 12:05:56,2015-09-04 12:15:56,4.03,8.59,-5.23,5.809999942779541,16.149999618530273,13.630000114440918,12.896,va_cs,False,False,True,4.261,82.806,0.921,13.986,-1.7999999523162842,11.539999961853027,2.75,10.423,76.602,3.59,2015-09-04 12:09:34.083000+00:00,3,4.034,8.579,-5.224,10.045,82.806,462,491,511,571,32.954,12.783,-16.962,50.775,14.35,-17.306,51.169,5.522,7.87,29.89,5.522,7.87,29.89,0.921,1.028,13.986,13.969,-0.208,-68.553,-107.286,-5.955,-63.351,-84.177,-21.369,-292.005,-230.938,-24.258,-302.832,-232.375,5164746.0,918927.5,5110705.5,920716.062,6133372.5,699492.562,5806047.0,718344.375,0.403,
3,2015-09-04 12:05:56,2015-09-04 12:15:56,4.03,8.59,-5.23,5.809999942779541,16.149999618530273,13.630000114440918,12.634,bisection,False,False,True,4.261,82.806,0.921,13.986,-1.7999999523162842,11.539999961853027,2.75,10.423,76.602,3.59,2015-09-04 12:09:34.083000+00:00,3,4.034,8.579,-5.224,10.045,82.806,462,491,511,571,32.954,12.783,-16.962,50.775,14.35,-17.306,51.169,5.522,7.87,29.89,5.522,7.87,29.89,0.921,1.028,13.986,13.969,-0.208,-68.553,-107.286,-5.955,-63.351,-84.177,-21.369,-292.005,-230.938,-24.258,-302.832,-232.375,5164746.0,918927.5,5110705.5,920716.062,6133372.5,699492.562,5806047.0,718344.375,0.403,
3,2015-09-04 13:21:21,2015-09-04 13:31:21,3.53,9.35,-5.48,4.519999980926514,15.0600004196167,19.709999084472656,11.318,shear,False,False,True,2.044,106.401,1.005,7.292,-7.550000190734863,6.210000038146973,-0.30000001192092896,13.195,92.812,2.78,2015-09-04 13:25:44.193000+00:00,3,3.531,9.344,-5.479,10.832,106.401,188,248,268,328,79.004,11.363,-15.127,17.602,10.047,-13.048,18.019,-7.72,17.597,25.244,-7.72,17.597,25.244,1.005,1.061,7.292,6.914,-157.819,-27.729,34.468,-156.459,-26.311,46.312,-15.985,-88.113,-151.177,-9.043,-103.467,-152.285,6026962.0,865001.188,5874702.5,938434.562,7160209.5,832803.812,6949639.0,906870.875,0.241,
3,2015-09-04 13:21:21,2015-09-04 13:31:21,3.53,9.35,-5.48,4.519999980926514,15.0600004196167,19.709999084472656,12.423,rx_en,False,False,True,2.044,106.401,1.005,7.292,-7.550000190734863,6.210000038146973,-0.30000001192092896,13.195,92.812,2.78,2015-09-04 13:25:44.193000+00:00,3,3.531,9.344,-5.479,10.832,106.401,188,248,268,328,79.004,11.363,-15.127,17.602,10.047,-13.048,18.019,-7.72,17.597,25.244,-7.72,17.597,25.244,1.005,1.061,7.292,6.914,-157.819,-27.729,34.468,-156.459,-26.311,46.312,-15.985,-88.113,-151.177,-9.043,-103.467,-152.285,6026962.0,865001.188,5874702.5,938434.562,7160209.5,832803.812,6949639.0,906870.875,0.241,
