mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen1,walen2,jet_detection,r_W,theta_W,jet_time,'np_median_msp,np_median_msh,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,10.896,shear,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,12.777,rx_en,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,14.904,va_cs,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,10.119,bisection,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,10.896,shear,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,12.777,rx_en,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,14.904,va_cs,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,10.119,bisection,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,10.896,shear,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
3,2015-09-04 11:37:54,2015-09-04 11:47:54,4.19,8.28,-5.06,8.050000190734863,18.040000915527344,17.649999618530273,12.777,rx_en,False,False,True,2.069,91.656,2015-09-04 11:42:06.677673600+00:00,1.23,3.813,-2.740000009536743,8.420000076293945,1.1699999570846558,0.1622881734479833,82.08912714360766,4.76,
