mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,walen1,walen2,jet_detection,r_W,theta_W,np_median_msp,np_median_msh,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,x_gsm,y_gsm,z_gsm,r_spc,theta_w,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
3,2015-09-02 16:40:20,2015-09-02 16:50:20,1.65,10.85,-4.78,4.78000020980835,12.369999885559082,25.559999465942383,12.181,shear,False,False,True,4.001,36.722,2.022,53.08,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:48:44.145000+00:00,3,1.618,10.863,-4.757,11.859,36.722,2790,2823,3385,3451,89.789,-2.95,17.08,40.35,-3.342,19.384,40.083,0.003,-18.99,9.27,0.003,-18.99,9.27,2.022,2.022,53.08,53.061,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,11.09,-245.626,-104.754,12.482,-244.168,-103.411,30221688.0,1659226.5,30082304.0,1716968.125,37599088.0,1938649.75,37618596.0,1940871.375,9.3,1.185,
3,2015-09-02 16:40:20,2015-09-02 16:50:20,1.65,10.85,-4.78,4.78000020980835,12.369999885559082,25.559999465942383,11.09,rx_en,False,False,True,4.001,36.722,2.022,53.08,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:48:44.145000+00:00,3,1.618,10.863,-4.757,11.859,36.722,2790,2823,3385,3451,89.789,-2.95,17.08,40.35,-3.342,19.384,40.083,0.003,-18.99,9.27,0.003,-18.99,9.27,2.022,2.022,53.08,53.061,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,11.09,-245.626,-104.754,12.482,-244.168,-103.411,30221688.0,1659226.5,30082304.0,1716968.125,37599088.0,1938649.75,37618596.0,1940871.375,9.3,1.185,
3,2015-09-02 16:40:20,2015-09-02 16:50:20,1.65,10.85,-4.78,4.78000020980835,12.369999885559082,25.559999465942383,12.681,va_cs,False,False,True,4.001,36.722,2.022,53.08,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:48:44.145000+00:00,3,1.618,10.863,-4.757,11.859,36.722,2790,2823,3385,3451,89.789,-2.95,17.08,40.35,-3.342,19.384,40.083,0.003,-18.99,9.27,0.003,-18.99,9.27,2.022,2.022,53.08,53.061,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,11.09,-245.626,-104.754,12.482,-244.168,-103.411,30221688.0,1659226.5,30082304.0,1716968.125,37599088.0,1938649.75,37618596.0,1940871.375,9.3,1.185,
3,2015-09-02 16:40:20,2015-09-02 16:50:20,1.65,10.85,-4.78,4.78000020980835,12.369999885559082,25.559999465942383,10.654,bisection,False,False,True,4.001,36.722,2.022,53.08,-1.559999942779541,3.4800000190734863,0.9800000190734863,17.503,74.327,4.91,2015-09-02 16:48:44.145000+00:00,3,1.618,10.863,-4.757,11.859,36.722,2790,2823,3385,3451,89.789,-2.95,17.08,40.35,-3.342,19.384,40.083,0.003,-18.99,9.27,0.003,-18.99,9.27,2.022,2.022,53.08,53.061,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,11.09,-245.626,-104.754,12.482,-244.168,-103.411,30221688.0,1659226.5,30082304.0,1716968.125,37599088.0,1938649.75,37618596.0,1940871.375,9.3,1.185,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,3.881,shear,False,False,True,1.301,124.978,1.237,17.032,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:57:54.099000+00:00,3,0.982,11.062,-4.26,11.853,124.978,1791,1824,993,1059,64.615,5.139,1.697,11.237,5.116,1.611,11.246,-9.224,23.64,14.749,-9.224,23.64,14.749,1.237,1.239,17.032,16.901,142.031,280.062,-198.593,140.247,283.725,-197.385,39.323,-105.958,-27.214,41.132,-105.907,-34.674,54139072.0,3459127.5,54514652.0,3472048.5,67000536.0,3792322.5,66701388.0,3807431.5,2.463,16.189,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,4.357,rx_en,False,False,True,1.301,124.978,1.237,17.032,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:57:54.099000+00:00,3,0.982,11.062,-4.26,11.853,124.978,1791,1824,993,1059,64.615,5.139,1.697,11.237,5.116,1.611,11.246,-9.224,23.64,14.749,-9.224,23.64,14.749,1.237,1.239,17.032,16.901,142.031,280.062,-198.593,140.247,283.725,-197.385,39.323,-105.958,-27.214,41.132,-105.907,-34.674,54139072.0,3459127.5,54514652.0,3472048.5,67000536.0,3792322.5,66701388.0,3807431.5,2.463,16.189,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,6.525,va_cs,False,False,True,1.301,124.978,1.237,17.032,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:57:54.099000+00:00,3,0.982,11.062,-4.26,11.853,124.978,1791,1824,993,1059,64.615,5.139,1.697,11.237,5.116,1.611,11.246,-9.224,23.64,14.749,-9.224,23.64,14.749,1.237,1.239,17.032,16.901,142.031,280.062,-198.593,140.247,283.725,-197.385,39.323,-105.958,-27.214,41.132,-105.907,-34.674,54139072.0,3459127.5,54514652.0,3472048.5,67000536.0,3792322.5,66701388.0,3807431.5,2.463,16.189,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,4.638,bisection,False,False,True,1.301,124.978,1.237,17.032,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:57:54.099000+00:00,3,0.982,11.062,-4.26,11.853,124.978,1791,1824,993,1059,64.615,5.139,1.697,11.237,5.116,1.611,11.246,-9.224,23.64,14.749,-9.224,23.64,14.749,1.237,1.239,17.032,16.901,142.031,280.062,-198.593,140.247,283.725,-197.385,39.323,-105.958,-27.214,41.132,-105.907,-34.674,54139072.0,3459127.5,54514652.0,3472048.5,67000536.0,3792322.5,66701388.0,3807431.5,2.463,16.189,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,3.881,shear,False,False,True,2.937,117.629,1.649,58.484,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:50:04.143000+00:00,3,1.056,11.049,-4.319,11.863,117.629,244,277,862,928,155.666,8.365,-2.942,18.02,8.371,-2.91,18.075,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.649,1.655,58.484,58.365,43.593,-88.611,34.056,43.416,-89.891,33.552,9.028,-234.812,-59.435,9.427,-234.915,-59.541,59657284.0,1450015.25,59665496.0,1447765.25,71470456.0,1636223.375,71694560.0,1630849.875,12.147,9.068,
3,2015-09-02 17:48:27,2015-09-02 17:58:27,1.03,11.05,-4.3,4.360000133514404,4.96999979019165,15.020000457763672,4.357,rx_en,False,False,True,2.937,117.629,1.649,58.484,-4.699999809265137,1.309999942779541,-4.239999771118164,17.11,162.831,2.38,2015-09-02 17:50:04.143000+00:00,3,1.056,11.049,-4.319,11.863,117.629,244,277,862,928,155.666,8.365,-2.942,18.02,8.371,-2.91,18.075,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.649,1.655,58.484,58.365,43.593,-88.611,34.056,43.416,-89.891,33.552,9.028,-234.812,-59.435,9.427,-234.915,-59.541,59657284.0,1450015.25,59665496.0,1447765.25,71470456.0,1636223.375,71694560.0,1630849.875,12.147,9.068,
