mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2015-09-06 23:55:00,2015-09-07 00:05:00,-2.02,7.7,-2.55,-22.709999084472656,56.09000015258789,26.8799991607666,9.096,shear,-3.740000009536743,2.2799999713897705,4.559999942779541,3.248,26.565,2.83,
3,2015-09-06 23:55:00,2015-09-07 00:05:00,-2.02,7.7,-2.55,-22.709999084472656,56.09000015258789,26.8799991607666,13.104,rx_en,-3.740000009536743,2.2799999713897705,4.559999942779541,3.248,26.565,2.83,
3,2015-09-06 23:55:00,2015-09-07 00:05:00,-2.02,7.7,-2.55,-22.709999084472656,56.09000015258789,26.8799991607666,13.922,va_cs,-3.740000009536743,2.2799999713897705,4.559999942779541,3.248,26.565,2.83,
3,2015-09-06 23:55:00,2015-09-07 00:05:00,-2.02,7.7,-2.55,-22.709999084472656,56.09000015258789,26.8799991607666,11.88,bisection,-3.740000009536743,2.2799999713897705,4.559999942779541,3.248,26.565,2.83,
3,2015-09-06 23:56:00,2015-09-07 00:06:00,-2.02,7.68,-2.54,-22.829999923706055,56.2599983215332,26.989999771118164,9.075,shear,-3.690000057220459,2.2799999713897705,4.559999942779541,3.208,26.565,2.84,
3,2015-09-06 23:56:00,2015-09-07 00:06:00,-2.02,7.68,-2.54,-22.829999923706055,56.2599983215332,26.989999771118164,13.106,rx_en,-3.690000057220459,2.2799999713897705,4.559999942779541,3.208,26.565,2.84,
3,2015-09-06 23:56:00,2015-09-07 00:06:00,-2.02,7.68,-2.54,-22.829999923706055,56.2599983215332,26.989999771118164,13.933,va_cs,-3.690000057220459,2.2799999713897705,4.559999942779541,3.208,26.565,2.84,
3,2015-09-06 23:56:00,2015-09-07 00:06:00,-2.02,7.68,-2.54,-22.829999923706055,56.2599983215332,26.989999771118164,11.86,bisection,-3.690000057220459,2.2799999713897705,4.559999942779541,3.208,26.565,2.84,
3,2015-09-06 23:57:00,2015-09-07 00:07:00,-2.03,7.66,-2.54,-23.329999923706055,56.41999816894531,27.139999389648438,9.055,shear,-3.5799999237060547,2.2799999713897705,4.559999942779541,3.168,26.565,2.74,
3,2015-09-06 23:57:00,2015-09-07 00:07:00,-2.03,7.66,-2.54,-23.329999923706055,56.41999816894531,27.139999389648438,13.162,rx_en,-3.5799999237060547,2.2799999713897705,4.559999942779541,3.168,26.565,2.74,
