mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn
3,2017-09-01 04:59:30,2017-09-01 05:00:30,-16.61,17.96,-0.73,-4.380000114440918,2.740000009536743,5.840000152587891,5.151,shear,-4.869999885559082,5.920000076293945,-1.6699999570846558,-1.322,105.753,2.69,
3,2017-09-01 04:59:30,2017-09-01 05:00:30,-16.61,17.96,-0.73,-4.380000114440918,2.740000009536743,5.840000152587891,5.151,rx_en,-4.869999885559082,5.920000076293945,-1.6699999570846558,-1.322,105.753,2.69,
3,2017-09-01 04:59:30,2017-09-01 05:00:30,-16.61,17.96,-0.73,-4.380000114440918,2.740000009536743,5.840000152587891,5.151,va_cs,-4.869999885559082,5.920000076293945,-1.6699999570846558,-1.322,105.753,2.69,
3,2017-09-01 04:59:30,2017-09-01 05:00:30,-16.61,17.96,-0.73,-4.380000114440918,2.740000009536743,5.840000152587891,5.151,bisection,-4.869999885559082,5.920000076293945,-1.6699999570846558,-1.322,105.753,2.69,
3,2017-09-01 09:59:30,2017-09-01 10:00:30,-16.52,15.99,-2.58,-32.18000030517578,15.979999542236328,-2.359999895095825,7.706,shear,-6.5,4.670000076293945,-1.059999942779541,5.949,102.788,3.23,
3,2017-09-01 09:59:30,2017-09-01 10:00:30,-16.52,15.99,-2.58,-32.18000030517578,15.979999542236328,-2.359999895095825,7.706,rx_en,-6.5,4.670000076293945,-1.059999942779541,5.949,102.788,3.23,
3,2017-09-01 09:59:30,2017-09-01 10:00:30,-16.52,15.99,-2.58,-32.18000030517578,15.979999542236328,-2.359999895095825,7.706,va_cs,-6.5,4.670000076293945,-1.059999942779541,5.949,102.788,3.23,
3,2017-09-01 09:59:30,2017-09-01 10:00:30,-16.52,15.99,-2.58,-32.18000030517578,15.979999542236328,-2.359999895095825,7.706,bisection,-6.5,4.670000076293945,-1.059999942779541,5.949,102.788,3.23,
3,2017-09-01 14:59:30,2017-09-01 15:00:30,-15.77,13.78,-0.4,-12.319999694824219,7.840000152587891,2.9100000858306885,7.4,shear,-6.019999980926514,5.079999923706055,-0.5600000023841858,16.477,96.291,2.36,
3,2017-09-01 14:59:30,2017-09-01 15:00:30,-15.77,13.78,-0.4,-12.319999694824219,7.840000152587891,2.9100000858306885,6.621,rx_en,-6.019999980926514,5.079999923706055,-0.5600000023841858,16.477,96.291,2.36,
