Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-07 13:57:26+00:00,3,False,False,True,3.66,9.571,-5.576,11.077,3.15,43.568,2015-09-07 13:58:32.387494016+00:00,5612,5644,3426,3458,2454,133.551,9.648,-1.214,25.531,9.639,-1.269,25.568,-13.256,31.261,-24.178,-13.256,31.261,-24.178,0.965,0.966,21.431,21.22,41.623,-3.788,-3.873,46.097,-2.459,-3.299,0.524,-312.786,-208.957,3.892,-318.487,-205.382,68686112.0,3081121.5,68534648.0,3118009.5,77212624.0,3598426.0,78361752.0,3708939.0,1.359,3.225,
2015-09-07 13:58:29+00:00,3,False,False,True,3.653,9.58,-5.575,11.084,3.15,43.568,2015-09-07 13:58:32.387494016+00:00,5822,5854,3426,3458,2454,137.497,7.627,-3.931,27.467,7.736,-3.773,27.474,-13.256,31.261,-24.178,-13.256,31.261,-24.178,1.198,1.201,21.431,21.22,-24.676,50.14,-56.579,-25.069,49.774,-57.608,0.524,-312.786,-208.957,3.892,-318.487,-205.382,57282860.0,3081121.5,56464856.0,3118009.5,65392020.0,3598426.0,65048580.0,3708939.0,1.359,2.985,
2015-09-09 14:30:40+00:00,3,False,False,True,3.655,9.781,-5.57,11.256,1.858,68.337,2015-09-09 14:32:07.216512+00:00,3652,3684,3334,3366,3486,168.304,6.689,29.434,23.246,6.345,29.582,23.157,-5.016,-20.311,-24.115,-5.016,-20.311,-24.115,0.84,0.844,19.043,18.921,29.208,25.828,-56.473,28.932,24.621,-61.383,-118.265,61.344,-33.191,-119.652,61.53,-32.832,45864756.0,2383560.0,45911152.0,2416477.75,52732760.0,2668623.0,52027700.0,2707504.75,1.616,0.967,
2015-09-09 14:32:05+00:00,3,False,False,True,3.643,9.792,-5.567,11.264,1.858,68.337,2015-09-09 14:32:07.216512+00:00,3378,3410,3060,3092,3212,168.304,6.689,29.434,23.246,6.345,29.582,23.157,-5.016,-20.311,-24.115,-5.016,-20.311,-24.115,0.84,0.844,19.043,18.921,29.208,25.828,-56.473,28.932,24.621,-61.383,-118.265,61.344,-33.191,-119.652,61.53,-32.832,45864756.0,2383560.0,45911152.0,2416477.75,52732760.0,2668623.0,52027700.0,2707504.75,1.616,0.967,
2015-09-09 18:49:45+00:00,3,False,False,True,1.303,10.719,-4.023,11.449,0.603,36.047,2015-09-09 18:55:17.682280960+00:00,1531,1563,410,442,3482,48.675,-10.167,32.418,2.721,-9.856,32.472,2.595,-4.905,2.281,-0.265,-4.905,2.281,-0.265,3.638,3.635,11.544,11.498,-20.317,-59.698,12.471,-19.95,-60.372,11.517,-157.4,154.146,44.198,-152.818,154.427,45.312,10123189.0,7052733.0,10099832.0,7095156.0,11723999.0,7014464.5,11617243.0,6991771.5,121.504,1.152,
2015-09-09 18:55:16+00:00,3,False,False,True,1.248,10.708,-3.983,11.425,1.283,54.174,2015-09-09 18:55:17.682280960+00:00,224,256,2256,2288,2157,39.923,-11.178,31.395,2.089,-10.928,31.805,2.504,1.954,12.86,-6.16,1.954,12.86,-6.16,3.777,3.813,12.436,12.471,-31.938,-59.319,17.336,-33.28,-59.461,17.633,32.922,-87.264,29.146,35.344,-87.713,30.302,9824101.0,6256282.0,9772936.0,6225882.5,11367546.0,6883930.0,11367604.0,6888479.5,13.456,1.223,
2015-09-09 19:02:32+00:00,3,False,False,True,1.173,10.691,-3.929,11.39,1.283,54.174,2015-09-09 18:55:17.682280960+00:00,1916,1948,1203,1235,1104,38.58,-17.557,29.983,-6.342,-16.956,31.043,-6.148,1.954,12.86,-6.16,1.954,12.86,-6.16,1.285,1.39,12.436,12.471,-131.104,-83.743,-26.537,-134.298,-80.606,-25.936,32.922,-87.264,29.146,35.344,-87.713,30.302,29976050.0,6256282.0,29578140.0,6225882.5,37284812.0,6883930.0,37647440.0,6888479.5,13.456,1.248,
2015-09-11 16:19:02+00:00,3,False,False,True,2.982,10.379,-5.12,11.573,2.378,38.06,2015-09-11 16:18:27.023752064+00:00,2943,2975,1200,1232,3420,92.632,4.503,15.936,9.291,4.441,15.858,9.279,-21.108,14.725,-18.0,-21.108,14.725,-18.0,0.781,0.776,17.485,17.413,-24.41,67.221,6.607,-21.642,67.575,4.881,-236.486,169.712,-185.421,-237.227,167.458,-184.767,51543744.0,5911115.5,52118012.0,5953350.0,56805924.0,6086563.0,58294796.0,6077510.5,5.41,4.048,
2015-09-11 16:22:06+00:00,3,False,False,True,2.955,10.393,-5.102,11.577,2.051,45.146,2015-09-11 16:18:27.023752064+00:00,2063,2095,5766,5798,2540,104.346,4.503,15.936,9.291,4.441,15.858,9.279,-2.074,7.98,-26.796,-2.074,7.98,-26.796,0.781,0.776,33.669,33.342,-24.41,67.221,6.607,-21.642,67.575,4.881,-313.977,173.158,-162.097,-316.338,172.76,-162.838,51543744.0,3809488.25,52118012.0,3789357.75,56805924.0,4015192.0,58294796.0,4086089.25,5.932,4.048,
2015-09-11 16:25:33+00:00,3,False,False,True,2.923,10.408,-5.08,11.581,2.051,45.146,2015-09-11 16:18:27.023752064+00:00,683,715,4386,4418,1160,104.346,4.503,15.936,9.291,4.441,15.858,9.279,-2.074,7.98,-26.796,-2.074,7.98,-26.796,0.781,0.776,33.669,33.342,-24.41,67.221,6.607,-21.642,67.575,4.881,-313.977,173.158,-162.097,-316.338,172.76,-162.838,51543744.0,3809488.25,52118012.0,3789357.75,56805924.0,4015192.0,58294796.0,4086089.25,5.932,4.048,
2015-09-25 09:37:59+00:00,3,False,False,True,7.101,6.719,-4.469,8.069,4.484,23.951,2015-09-25 09:40:14.918475008+00:00,4347,4379,3042,3074,3836,151.183,11.653,25.854,31.682,13.055,26.891,31.984,3.552,-18.231,-14.055,3.552,-18.231,-14.055,1.602,1.366,20.028,19.785,9.081,-2.096,-46.311,38.862,-58.18,-48.353,-130.768,123.054,-64.141,-130.182,123.607,-64.052,12372202.0,2528983.5,19621960.0,2553360.25,18599782.0,3163794.5,33877416.0,3162578.0,3.471,0.639,
2015-09-25 09:39:25+00:00,3,False,False,True,7.099,6.734,-4.483,8.09,4.484,23.951,2015-09-25 09:40:14.918475008+00:00,3774,3806,2469,2501,3263,151.183,11.653,25.854,31.682,13.055,26.891,31.984,3.552,-18.231,-14.055,3.552,-18.231,-14.055,1.602,1.366,20.028,19.785,9.081,-2.096,-46.311,38.862,-58.18,-48.353,-130.768,123.054,-64.141,-130.182,123.607,-64.052,12372202.0,2528983.5,19621960.0,2553360.25,18599782.0,3163794.5,33877416.0,3162578.0,3.471,0.639,
2015-12-05 00:14:39+00:00,3,False,False,True,9.007,-3.535,-0.728,3.609,1.318,33.776,2015-12-05 00:21:31.853942016+00:00,1436,1468,2176,2208,2117,19.121,14.316,-18.235,56.39,13.752,-19.91,56.321,20.431,-4.229,39.0,20.431,-4.229,39.0,0.997,0.997,18.972,18.607,7.996,43.51,-7.876,7.768,43.297,-8.309,-143.109,90.764,-246.613,-157.177,80.314,-246.993,16423666.0,3866942.5,15997952.0,3927227.0,19819462.0,4279846.5,19896814.0,4222532.0,1.252,0.161,
